,Date,h_team,a_team,Home Score,Away Score,play_off,home_odds,away_odds,season,margin,h_prevladder_score,a_prevladder_score,margins_prev_match1,margins_prev_match2,margins_prev_match3,margins_prev_match4,margins_prev_match5,win_loc
85,2017-07-01,GWS Giants,Geelong,68,68,0,1.3,3.48,2017,0,64.0,68.0,-10.0,13.0,-27.0,-7.0,-59.0,0
86,2017-07-01,Gold Coast,North Melbourne,118,99,0,1.54,2.48,2017,19,24.0,48.0,-13.0,-38.0,55.0,43.0,15.0,1
87,2017-07-01,Carlton,Adelaide,77,89,0,3.74,1.27,2017,-12,28.0,64.0,-60.0,-9.0,5.0,32.0,-69.0,0
88,2017-07-01,Western Bulldogs,West Coast,80,87,0,1.31,3.39,2017,-7,60.0,64.0,-8.0,47.0,8.0,-77.0,10.0,0
89,2017-06-30,Melbourne,Sydney,50,85,0,2.05,1.76,2017,-35,40.0,68.0,-55.0,-38.0,-31.0,-31.0,-101.0,0
90,2017-06-25,St Kilda,Gold Coast,103,72,0,1.19,4.73,2017,31,48.0,24.0,-40.0,28.0,-53.0,-38.0,46.0,1
91,2017-06-25,Richmond,Carlton,84,58,0,1.41,2.86,2017,26,32.0,28.0,43.0,9.0,30.0,27.0,12.0,1
92,2017-06-25,Geelong,Fremantle,74,72,0,1.04,10.14,2017,2,68.0,16.0,42.0,17.0,-44.0,2.0,-32.0,1
93,2017-06-24,West Coast,Melbourne,96,99,0,1.75,2.08,2017,-3,64.0,40.0,6.0,54.0,66.0,93.0,94.0,0
94,2017-06-24,Western Bulldogs,North Melbourne,107,106,0,1.59,2.34,2017,1,60.0,48.0,3.0,14.0,-16.0,23.0,-50.0,1
95,2017-06-24,Brisbane,GWS Giants,86,146,0,4.18,1.23,2017,-60,12.0,64.0,-79.0,-30.0,-45.0,60.0,92.0,0
96,2017-06-24,Collingwood,Port Adelaide,62,93,0,1.95,1.83,2017,-31,36.0,40.0,-67.0,-3.0,6.0,-24.0,-35.0,0
97,2017-06-23,Sydney,Essendon,86,85,0,1.37,3.07,2017,1,68.0,12.0,81.0,12.0,22.0,50.0,44.0,1
98,2017-06-22,Adelaide,Hawthorn,82,96,0,1.08,7.48,2017,-14,64.0,68.0,24.0,-3.0,-74.0,-29.0,-12.0,0
99,2017-06-18,Western Bulldogs,Melbourne,56,113,0,1.63,2.25,2017,-57,60.0,40.0,32.0,98.0,-39.0,6.0,16.0,0
