,mid,premiership,att,win_loc,season,h_prevladder_score,a_prevladder_score,margins_prev_match1,margins_prev_match2,margins_prev_match3,margins_prev_match4,margins_prev_match5,home_team,away_team,home_odds,away_odds,date
144,2010_R10_107_111,0,24525,1,2010,72,16,46.0,43.0,116.0,30.0,52.0,Geelong,Melbourne,1.04,10.25,2010-05-29
145,2010_R10_113_114,0,16694,0,2010,36,22,3.0,-4.0,55.0,40.0,-38.0,Port Adelaide,Richmond,1.18,4.61,2010-05-29
146,2010_R10_101_115,0,28708,1,2010,80,56,57.0,32.0,48.0,2.0,-63.0,St Kilda,Adelaide,1.23,4.08,2010-05-29
147,2010_R10_110_116,0,36003,1,2010,36,32,11.0,-38.0,31.0,-72.0,-9.0,Hawthorn,Sydney,1.31,3.35,2010-05-30
148,2010_R10_103_117,0,29175,1,2010,52,32,41.0,37.0,-61.0,-10.0,-77.0,Carlton,West Coast,1.19,4.48,2010-05-30
149,2010_R10_106_112,0,36175,1,2010,24,30,-13.0,53.0,-4.0,35.0,-22.0,Fremantle,North Melbourne,1.12,5.94,2010-05-30
150,2010_R11_114_115,0,32858,0,2010,22,80,-56.0,-3.0,-10.0,-17.0,-103.0,Richmond,St Kilda,5.69,1.12,2010-06-04
151,2010_R11_103_111,0,49745,1,2010,52,16,57.0,33.0,-31.0,-23.0,7.0,Carlton,Melbourne,1.36,3.01,2010-06-05
152,2010_R11_101_106,0,35605,1,2010,56,24,-56.0,117.0,24.0,17.0,-25.0,Adelaide,Fremantle,2.8,1.41,2010-06-05
153,2010_R11_107_117,0,33784,0,2010,32,72,-22.0,-99.0,-135.0,-39.0,3.0,West Coast,Geelong,6.06,1.11,2010-06-05
154,2010_R11_105_116,0,29329,1,2010,32,42,-35.0,91.0,-1.0,43.0,-27.0,Sydney,Essendon,1.71,2.06,2010-06-06
155,2010_R11_110_113,0,21287,1,2010,36,36,-18.0,-30.0,15.0,-5.0,34.0,Hawthorn,Port Adelaide,1.41,2.78,2010-06-06
156,2010_R11_104_118,0,40813,1,2010,60,60,36.0,-24.0,1.0,-10.0,-33.0,Collingwood,Western Bulldogs,1.67,2.11,2010-06-06
157,2010_R12_103_112,0,43732,1,2010,30,52,-10.0,51.0,82.0,17.0,19.0,North Melbourne,Carlton,3.7,1.27,2010-06-11
158,2010_R12_101_110,0,16167,1,2010,36,56,-27.0,-27.0,4.0,44.0,3.0,Hawthorn,Adelaide,1.39,2.91,2010-06-12
159,2010_R12_105_107,0,46358,0,2010,42,72,-31.0,-64.0,-99.0,-50.0,-42.0,Essendon,Geelong,4.18,1.22,2010-06-12
160,2010_R12_113_116,0,20106,0,2010,36,32,-55.0,-11.0,-68.0,-31.0,-27.0,Port Adelaide,Sydney,1.77,1.97,2010-06-12
161,2010_R12_114_117,0,30870,1,2010,22,32,-80.0,15.0,77.0,-31.0,-23.0,Richmond,West Coast,1.82,1.93,2010-06-13
162,2010_R12_106_115,0,37569,0,2010,24,80,-15.0,-83.0,-43.0,-8.0,-30.0,Fremantle,St Kilda,1.64,2.18,2010-06-13
163,2010_R12_104_111,0,67454,0,2010,16,60,-1.0,-66.0,-53.0,-21.0,-11.0,Melbourne,Collingwood,4.98,1.16,2010-06-14
164,2010_R13_105_110,0,54148,1,2010,36,42,-43.0,-17.0,-44.0,51.0,63.0,Hawthorn,Essendon,1.55,2.39,2010-06-18
165,2010_R13_103_106,0,28869,0,2010,52,24,15.0,-7.0,9.0,-77.0,-18.0,Carlton,Fremantle,1.62,2.23,2010-06-19
166,2010_R13_112_113,0,15109,1,2010,30,36,-14.0,4.0,5.0,-76.0,2.0,North Melbourne,Port Adelaide,1.35,3.08,2010-06-20
167,2010_R13_117_118,0,34280,0,2010,32,60,5.0,33.0,-60.0,87.0,15.0,West Coast,Western Bulldogs,3.25,1.33,2010-06-20
168,2010_R13_107_115,0,58208,1,2010,80,72,-12.0,6.0,-58.0,-42.0,-60.0,St Kilda,Geelong,3.09,1.34,2010-06-25
169,2010_R13_104_116,0,43585,0,2010,32,60,-41.0,-23.0,-45.0,-29.0,-38.0,Sydney,Collingwood,2.23,1.62,2010-06-26
170,2010_R13_101_111,0,34422,1,2010,56,16,-16.0,17.0,76.0,-17.0,58.0,Adelaide,Melbourne,1.59,2.28,2010-06-27
171,2010_R14_110_118,0,47454,1,2010,36,60,-16.0,-88.0,51.0,-32.0,84.0,Hawthorn,Western Bulldogs,2.3,1.57,2010-07-02
172,2010_R14_106_113,0,32442,1,2010,24,36,42.0,-24.0,28.0,-28.0,-32.0,Fremantle,Port Adelaide,1.11,6.13,2010-07-03
173,2010_R14_104_117,0,38781,1,2010,60,32,22.0,100.0,19.0,-12.0,37.0,Collingwood,West Coast,1.06,9.0,2010-07-03
174,2010_R14_101_105,0,37296,1,2010,56,42,96.0,16.0,56.0,5.0,-12.0,Adelaide,Essendon,1.58,2.3,2010-07-03
175,2010_R14_107_112,0,25159,1,2010,72,30,70.0,33.0,13.0,106.0,27.0,Geelong,North Melbourne,1.14,5.38,2010-07-04
176,2010_R14_114_116,0,39386,1,2010,22,32,-55.0,-55.0,-19.0,-82.0,-66.0,Richmond,Sydney,2.14,1.66,2010-07-04
177,2010_R14_111_115,0,31993,1,2010,80,16,47.0,37.0,79.0,31.0,-18.0,St Kilda,Melbourne,1.12,5.81,2010-07-04
178,2010_R15_104_113,0,24260,0,2010,36,60,-38.0,-31.0,18.0,-2.0,-41.0,Port Adelaide,Collingwood,5.06,1.15,2010-07-09
